,Home,HFG%,H3P%,HFT%,HORB,HTOV,HAST,HPTS,Away,AFG%,A3P%,AFT%,AORB,ATOV,AAST,APTS,HRFG%,HR3P%,HRFT%,HRO,HRT,HRS,HRP,ARFG%,AR3P%,ARFT%,ARO,ART,ARS,ARP,Winner,Home_elo_before,Away_elo_before,Home_elo_after,Away_elo_after,Home_sm_before,Away_sm_before,Home_sm_after,Away_sm_after
16,WAS,.533,.353,.829,7,12,16,115,DET,.494,.435,.750,10,12,19,111,0.45372460496614,0.3552123552123552,0.7704918032786885,10.9,8.6,13.1,113.1,0.4647398843930636,0.35587188612099646,0.7736842105263158,10.7,9.3,13.4,105.1,H,1507.0373755241221,1500.0,1513.1989710782245,1493.8384044458976,967.6250077601478,855.4286818302313,971.6169156852806,851.4367739050986
17,MIN,.444,.318,.808,10,11,15,100,UTA,.481,.409,.824,7,10,19,97,0.46072684642438455,0.38181818181818183,0.7764705882352941,10.7,8.5,15.1,106.8,0.4656019656019656,0.3821428571428571,0.8539325842696629,7.8,9.6,16.2,101.7,H,1490.9206891633037,1510.3775161627193,1496.9174023797702,1504.3808029462527,987.6988919727091,1125.910202646246,996.3608946146547,1117.2482000043005
18,DAL,.413,.333,.714,7,8,12,88,SAC,.425,.435,.692,16,8,14,93,0.420863309352518,0.3819241982507289,0.7605633802816901,9.0,7.0,14.8,99.5,0.44549763033175355,0.3459715639810427,0.7647058823529411,9.0,6.8,15.3,92.9,A,1492.267271820273,1493.0669088239952,1485.250581715009,1500.083598929259,626.5553766563996,439.07558119805265,614.1972113694953,451.433746484957
19,NOP,.459,.444,.636,16,8,17,120,GSW,.511,.439,.800,10,6,18,128,0.44786729857819907,0.3265993265993266,0.775,11.2,7.6,16.7,103.9,0.5243179122182681,0.42024539877300615,0.8372093023255814,9.4,7.1,17.0,120.1,A,1488.3637848169462,1495.9580891559722,1479.5365289480258,1504.7853450248926,987.2700194432239,1406.5960740149999,986.153360111994,1407.71273334623
20,TOR,.472,.295,.838,8,5,13,128,PHI,.390,.333,.611,8,5,20,94,0.4650887573964497,0.3183279742765273,0.7984189723320159,9.6,9.1,14.0,108.7,0.45219347581552305,0.3865814696485623,0.6868686868686869,11.2,8.7,17.0,106.1,H,1514.6474739107482,1482.2991920488298,1535.8354323284627,1461.1112336311153,1376.3003952805796,1162.1067874243533,1385.532290180532,1152.8748925244008
21,CHI,.378,.286,.778,8,3,19,77,SAS,.409,.083,.625,14,8,11,87,0.40344827586206894,0.33540372670807456,0.8024691358024691,10.7,6.3,15.5,94.0,0.4311717861205916,0.3364485981308411,0.7616822429906542,13.1,7.6,13.6,99.3,A,1485.3525260892518,1509.0793108366963,1475.8627328794662,1518.569104046482,448.2531703194686,998.5432874929108,447.6709913146307,999.1254664977488
22,CLE,.384,.280,.741,11,4,16,93,ORL,.444,.486,.850,12,7,12,114,0.48058252427184467,0.3404255319148936,0.8354978354978355,8.3,6.1,15.6,108.1,0.46251441753171857,0.37809187279151946,0.7569060773480663,8.7,7.2,15.6,104.6,A,1521.591164403338,1508.4127645930691,1503.8136376070427,1526.1902913893646,1010.4756362987868,627.626065829376,966.4725551423551,671.6291469858077
23,HOU,.476,.234,.818,8,12,13,107,DAL,.369,.419,.762,8,6,14,91,0.43884892086330934,0.30296127562642367,0.8152610441767069,9.4,8.7,14.6,106.8,0.41798298906439857,0.3776435045317221,0.7464788732394366,8.8,7.3,14.5,97.2,H,1510.9750020200327,1485.250581715009,1523.7320418389547,1472.493541896087,1425.478472960728,614.1972113694953,1425.6367763789328,614.0389079512903
24,MEM,.468,.370,.784,6,8,14,111,GSW,.393,.316,.852,12,10,17,101,0.44390243902439025,0.33557046979865773,0.7244094488188977,8.6,8.2,12.8,101.2,0.5216374269005848,0.4124629080118694,0.8271028037383178,9.8,7.2,17.1,120.8,H,1511.6362151830538,1504.7853450248926,1521.7536792120816,1494.6678809958648,533.3760114100678,1407.71273334623,601.9900296085154,1339.0987151477823
25,MIA,.517,.412,.571,6,6,14,112,IND,.448,.368,.714,13,9,10,108,0.4479283314669653,0.31456953642384106,0.7696629213483146,8.4,7.4,15.5,103.2,0.4727061556329849,0.3829787234042553,0.7377777777777778,9.4,6.8,13.5,107.0,H,1491.5872354069309,1484.7694995991114,1497.7538825850206,1478.6028524210217,871.6167065194227,977.3415679387741,880.5651619270898,968.393112531107
26,NYK,.457,.267,.806,12,6,12,107,DET,.484,.300,.933,15,5,12,111,0.4532544378698225,0.32684824902723736,0.7864077669902912,10.2,7.9,18.4,101.2,0.4668192219679634,0.3669064748201439,0.7637362637362637,11.0,9.5,14.1,105.7,A,1483.052418543219,1493.8384044458976,1476.9767498860624,1499.914073103054,646.4180607431941,851.4367739050986,643.8642291541364,853.9906054941563
27,MIL,.525,.389,.733,7,9,14,113,POR,.420,.393,.886,13,10,16,110,0.4835443037974684,0.36046511627906974,0.7952380952380952,5.9,7.4,14.4,102.4,0.4371395617070358,0.38,0.8253968253968254,11.3,6.5,13.6,106.1,H,1492.892904087394,1515.2305004008886,1498.9507164296226,1509.17268805866,969.1653453214126,1008.5482363560421,975.5893730038044,1002.1242086736503
28,DEN,.435,.333,.600,18,7,16,96,SAC,.365,.364,.692,12,6,13,79,0.46432889963724305,0.40145985401459855,0.7336448598130841,10.3,7.2,16.9,103.5,0.43625730994152045,0.3427230046948357,0.7647058823529411,10.3,7.0,15.0,92.3,H,1489.6224838372807,1500.083598929259,1504.8381913905935,1484.8678913759463,925.2728752658505,451.433746484957,926.5763609579712,450.1302607928362
29,UTA,.494,.310,.786,7,11,18,96,OKC,.410,.333,.632,8,14,17,87,0.47073474470734744,0.3843283582089552,0.847953216374269,7.7,9.9,16.8,100.4,0.45308924485125857,0.3415384615384615,0.7268041237113402,10.7,10.4,14.8,104.4,H,1504.3808029462527,1516.947581456781,1514.5689785445275,1506.7594058585064,1117.2482000043005,983.5181135145625,1122.8145835904477,977.9517299284154
30,OKC,.479,.355,.625,9,9,11,113,MIN,.500,.400,.826,10,5,17,115,0.45433526011560693,0.33746130030959753,0.7135678391959799,10.4,11.4,15.3,103.7,0.4617196702002356,0.3721973094170404,0.7829457364341085,10.6,8.9,15.3,106.9,A,1506.7594058585064,1496.9174023797702,1501.7512710252151,1501.9255372130615,977.9517299284154,996.3608946146547,973.4420619292977,1000.8705626137724
31,LAL,.489,.333,.750,9,7,17,112,NOP,.566,.313,.714,6,14,18,119,0.4627039627039627,0.273542600896861,0.7188940092165899,8.5,8.1,16.5,101.1,0.45538818076477405,0.34415584415584416,0.7553648068669528,11.2,8.0,16.7,106.8,A,1485.9414147950151,1479.5365289480258,1477.3294537096122,1488.1484900334287,767.142509631249,986.153360111994,763.9806072804639,989.3152624627791
32,DET,.388,.200,.737,9,5,14,86,PHI,.467,.375,.750,8,11,21,97,0.4650112866817156,0.34507042253521125,0.7885714285714286,11.7,9.0,13.9,106.0,0.4539249146757679,0.3901639344262295,0.6697247706422018,10.6,8.5,17.4,106.3,A,1499.914073103054,1461.1112336311153,1487.2860033764211,1473.7393033577482,853.9906054941563,1152.8748925244008,851.2925718865743,1155.572926131983
33,MIA,.459,.378,.667,10,12,19,104,ATL,.474,.412,.778,6,9,20,93,0.46265328874024525,0.3258064516129032,0.76,8.3,7.0,14.9,106.4,0.4692218350754936,0.4279835390946502,0.8044692737430168,9.1,9.5,14.7,105.6,H,1497.7538825850206,1507.732728179727,1509.1725792568,1496.3140315079477,880.5651619270898,569.4726259233062,883.0864030660306,566.9513847843654
34,HOU,.416,.237,.739,9,5,16,90,MEM,.426,.316,.919,3,5,12,98,0.44657863145258103,0.29931972789115646,0.8016528925619835,9.0,9.2,14.5,107.0,0.4444444444444444,0.34375,0.7292418772563177,8.6,8.4,13.0,102.1,A,1523.7320418389547,1521.7536792120816,1514.5865578150706,1530.8991632359657,1425.6367763789328,601.9900296085154,1372.8591918882687,654.7676140991796
